Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid
2009-01-02,19.91,21.65,150.07,167.6,150.07,167.6,150.07,167.6
2009-01-07,20.16,21.92,151.77,169.64,151.77,169.64,151.77,169.64
2009-01-08,19.67,21.39,148.2,165.44,148.2,165.44,148.2,165.44
2009-01-12,20.08,21.83,151.16,168.68,151.16,168.68,151.16,168.68
2009-01-13,19.63,21.35,147.61,165.04,147.61,165.04,147.61,165.04
2009-01-19,19.93,21.68,150.23,167.78,150.23,167.78,150.23,167.78
2009-01-20,20.18,21.94,152.03,169.89,152.03,169.89,152.03,169.89
2009-01-21,21.07,22.91,158.42,177.06,158.42,177.06,158.42,177.06
2009-01-22,20.75,22.56,156.04,174.13,156.04,174.13,156.04,174.13
2009-01-23,21.45,23.32,161.44,180.38,161.44,180.38,161.44,180.38
2009-01-26,22.15,24.07,166.49,185.97,166.49,185.97,166.49,185.97
2009-01-27,21.33,23.19,160.67,179.57,160.67,179.57,160.67,179.57
2009-01-28,21.18,23.03,158.76,177.57,158.76,177.57,158.76,177.57
2009-01-29,21.34,23.21,160.49,179.13,160.49,179.13,160.49,179.13
2009-01-30,22.69,24.66,170.73,190.88,170.73,190.88,170.73,190.88
2009-02-03,22.21,24.14,167.01,186.59,167.01,186.59,167.01,186.59
2009-02-04,22.07,23.99,166.15,185.58,166.15,185.58,166.15,185.58
2009-02-05,22.49,24.44,169.77,189.48,169.77,189.48,169.77,189.48
2009-02-06,22.71,24.68,171.22,191.09,171.22,191.09,171.22,191.09
2009-02-09,22.22,24.16,167.52,187.07,167.52,187.07,167.52,187.07
2009-02-10,21.93,23.84,164.98,184.43,164.98,184.43,164.98,184.43
2009-02-11,22.54,24.5,170.32,190.0,170.32,190.0,170.32,190.0
2009-02-12,23.04,25.04,173.56,193.85,173.56,193.85,173.56,193.85
2009-02-16,23.39,25.42,176.09,196.24,176.09,196.24,176.09,196.24
2009-02-17,23.99,26.08,180.62,201.92,180.62,201.92,180.62,201.92
2009-02-18,24.38,26.5,183.58,205.07,183.58,205.07,183.58,205.07
2009-02-23,23.99,26.64,180.35,205.7,180.35,205.7,180.35,205.7
2009-02-24,24.29,26.97,182.76,208.43,182.76,208.43,182.76,208.43
2009-02-25,23.44,26.04,176.54,202.07,176.54,202.07,176.54,202.07
2009-02-26,23.16,25.72,174.53,199.27,174.53,199.27,174.53,199.27
2009-03-03,22.74,25.49,169.12,197.28,169.12,197.28,169.12,197.28
2009-03-05,22.49,25.22,167.56,194.95,167.56,194.95,167.56,194.95
2009-03-06,23.06,25.85,171.71,200.08,171.71,200.08,171.71,200.08
2009-03-10,22.36,25.09,166.86,194.03,166.86,194.03,166.86,194.03
2009-03-11,21.98,24.64,163.4,190.54,163.4,190.54,163.4,190.54
2009-03-12,22.22,24.91,165.41,192.46,165.41,192.46,165.41,192.46
2009-03-13,22.22,24.92,163.63,192.86,163.63,192.86,163.63,192.86
2009-03-16,21.96,24.65,161.9,190.82,161.9,190.82,161.9,190.82
2009-03-18,21.64,24.28,159.61,189.24,159.61,189.24,159.61,189.24
2009-03-19,21.4,23.99,158.11,186.95,158.11,186.95,158.11,186.95
2009-03-20,21.78,24.44,160.57,190.78,160.57,190.78,160.57,190.78
2009-03-23,21.61,24.25,159.85,189.16,159.85,189.16,159.85,189.16
2009-03-24,21.4,24.0,158.17,187.48,158.17,187.48,158.17,187.48
2009-03-30,21.8,24.45,160.97,191.22,160.97,191.22,160.97,191.22
2009-03-31,21.54,24.15,158.64,188.68,158.64,188.68,158.64,188.68
2009-04-03,20.91,23.45,154.23,183.0,154.23,183.0,154.23,183.0
2009-04-06,20.12,22.57,148.27,175.8,148.27,175.8,148.27,175.8
2009-04-07,20.36,22.84,150.43,178.36,150.43,178.36,150.43,178.36
2009-04-08,20.88,23.42,154.05,182.42,154.05,182.42,154.05,182.42
2009-04-09,20.65,23.16,152.12,181.03,152.12,181.03,152.12,181.03
2009-04-13,20.94,23.48,154.21,183.4,154.21,183.4,154.21,183.4
2009-04-21,21.23,23.82,156.79,185.66,156.79,185.66,156.79,185.66
2009-04-24,21.5,24.1,158.28,188.48,158.28,188.48,158.28,188.48
2009-04-29,21.03,23.58,154.84,184.04,154.84,184.04,154.84,184.04
2009-05-04,20.78,23.29,153.15,182.03,153.15,182.03,153.15,182.03
2009-05-05,20.99,23.53,154.87,183.75,154.87,183.75,154.87,183.75
2009-05-07,21.25,23.82,156.43,186.28,156.43,186.28,156.43,186.28
2009-05-11,20.82,23.34,153.93,182.33,153.93,182.33,153.93,182.33
2009-05-13,21.03,23.58,155.15,184.33,155.15,184.33,155.15,184.33
2009-05-18,21.53,24.14,159.23,188.17,159.23,188.17,159.23,188.17
2009-05-19,21.09,23.63,155.61,184.21,155.61,184.21,155.61,184.21
2009-05-21,21.23,23.78,156.21,186.04,156.21,186.04,156.21,186.04
2009-05-29,21.42,24.01,158.07,187.61,158.07,187.61,158.07,187.61
2009-06-02,21.26,23.93,155.79,186.64,155.79,186.64,155.79,186.64
2009-06-04,21.05,23.71,154.18,184.82,154.18,184.82,154.18,184.82
2009-06-05,21.29,23.98,156.44,187.22,156.44,187.22,156.44,187.22
2009-06-10,21.05,23.71,154.8,184.91,154.8,184.91,154.8,184.91
2009-06-15,20.73,23.37,151.99,182.16,151.99,182.16,151.99,182.16
2009-06-23,20.43,23.02,150.05,179.5,150.05,179.5,150.05,179.5
2009-06-25,20.71,23.32,151.85,181.99,151.85,181.99,151.85,181.99
2009-07-01,20.43,23.02,149.66,179.59,149.66,179.59,149.66,179.59
2009-07-10,20.2,22.77,148.07,177.98,148.07,177.98,148.07,177.98
2009-07-15,20.45,23.05,150.2,180.23,150.2,180.23,150.2,180.23
2009-07-21,20.64,23.24,151.35,181.83,151.35,181.83,151.35,181.83
2009-07-29,20.44,23.03,150.25,179.98,150.25,179.98,150.25,179.98
2009-08-03,20.7,23.32,151.61,182.04,151.61,182.04,151.61,182.04
2009-08-04,20.47,23.07,150.16,180.31,150.16,180.31,150.16,180.31
2009-08-05,20.67,23.29,151.99,181.48,151.99,181.48,151.99,181.48
2009-08-25,20.42,23.01,151.72,179.87,151.72,179.87,151.72,179.87
2009-08-31,20.62,23.24,152.64,181.61,152.64,181.61,152.64,181.61
2009-09-03,21.11,23.78,156.9,185.37,156.9,185.37,156.9,185.37
2009-09-04,21.45,24.18,159.16,188.49,159.16,188.49,159.16,188.49
2009-09-09,21.21,23.89,157.21,186.83,157.21,186.83,157.21,186.83
2009-09-10,21.08,23.74,156.39,185.14,156.39,185.14,156.39,185.14
2009-09-14,21.28,23.96,158.08,186.95,158.08,186.95,158.08,186.95
2009-09-15,21.12,23.76,156.57,185.26,156.57,185.26,156.57,185.26
2009-09-16,21.25,23.92,157.42,186.81,157.42,186.81,157.42,186.81
2009-09-21,20.96,23.72,154.34,185.17,154.34,185.17,154.34,185.17
2009-10-01,21.16,23.94,156.4,186.74,156.4,186.74,156.4,186.74
2009-10-07,21.72,24.59,160.15,192.03,160.15,192.03,160.15,192.03
2009-10-08,21.93,24.83,161.58,194.17,161.58,194.17,161.58,194.17
2009-10-15,21.73,24.6,160.38,191.94,160.38,191.94,160.38,191.94
2009-10-27,21.5,24.34,158.78,190.29,158.78,190.29,158.78,190.29
2009-11-02,21.77,24.64,160.88,192.71,160.88,192.71,160.88,192.71
2009-11-03,22.1,25.01,163.26,195.21,163.26,195.21,163.26,195.21
2009-11-04,22.62,25.6,166.66,199.62,166.66,199.62,166.66,199.62
2009-11-12,22.97,25.99,169.56,203.01,169.56,203.01,169.56,203.01
2009-11-16,23.18,26.23,171.21,204.81,171.21,204.81,171.21,204.81
2009-11-18,23.5,26.59,173.46,208.01,173.46,208.01,173.46,208.01
2009-11-23,23.95,27.1,176.89,211.59,176.89,211.59,176.89,211.59
2009-11-26,24.26,27.46,179.47,214.77,179.47,214.77,179.47,214.77
2009-11-27,23.68,26.81,175.14,209.14,175.14,209.14,175.14,209.14
2009-11-30,23.93,27.1,176.13,211.29,176.13,211.29,176.13,211.29
2009-12-01,24.17,27.34,178.14,213.52,178.14,213.52,178.14,213.52
2009-12-02,24.72,27.97,182.83,218.34,182.83,218.34,182.83,218.34
2009-12-07,23.86,27.01,176.12,210.84,176.12,210.84,176.12,210.84
2009-12-09,23.66,26.78,174.69,208.87,174.69,208.87,174.69,208.87
2009-12-16,23.92,27.07,176.89,211.48,176.89,211.48,176.89,211.48
2009-12-18,23.63,26.75,174.76,208.76,174.76,208.76,174.76,208.76
2009-12-21,23.87,27.02,175.95,210.81,175.95,210.81,175.95,210.81
2009-12-22,23.53,26.63,173.78,207.85,173.78,207.85,173.78,207.85
2009-12-28,23.77,26.9,175.33,210.08,175.33,210.08,175.33,210.08
2009-12-29,23.53,26.63,173.55,208.13,173.55,208.13,173.55,208.13
2010-01-04,23.78,26.92,175.67,209.85,175.67,209.85,175.67,209.85
2010-01-05,23.97,27.12,176.61,212.06,176.61,212.06,176.61,212.06
2010-01-07,24.22,27.4,178.77,213.73,178.77,213.73,178.77,213.73
2010-01-11,24.44,27.66,180.63,216.23,180.63,216.23,180.63,216.23
2010-01-13,23.95,27.1,176.9,211.59,176.9,211.59,176.9,211.59
2010-01-15,24.26,27.44,178.89,214.52,178.89,214.52,178.89,214.52
2010-01-20,24.56,27.79,181.34,216.79,181.34,216.79,181.34,216.79
2010-01-21,24.32,27.53,179.77,215.28,179.77,215.28,179.77,215.28
2010-01-22,23.79,26.93,175.83,210.3,175.83,210.3,175.83,210.3
2010-01-27,23.97,27.13,176.64,212.01,176.64,212.01,176.64,212.01
2010-02-02,24.32,27.53,179.88,214.95,179.88,214.95,179.88,214.95
2010-02-03,24.55,27.78,181.37,217.2,181.37,217.2,181.37,217.2
2010-02-05,23.87,27.01,176.19,210.63,176.19,210.63,176.19,210.63
2010-02-08,24.05,27.21,177.77,212.42,177.77,212.42,177.77,212.42
2010-02-12,24.52,27.75,180.96,216.52,180.96,216.52,180.96,216.52
2010-02-16,24.99,28.27,184.22,220.8,184.22,220.8,184.22,220.8
2010-02-19,25.16,28.46,185.8,222.78,185.8,222.78,185.8,222.78
2010-02-25,24.91,28.18,183.83,219.94,183.83,219.94,183.83,219.94
2010-02-26,25.1,28.39,185.0,221.73,185.0,221.73,185.0,221.73
2010-03-02,25.35,28.68,187.09,224.03,187.09,224.03,187.09,224.03
2010-03-03,25.57,28.93,188.64,226.27,188.64,226.27,188.64,226.27
2010-03-09,25.31,28.64,186.78,223.57,186.78,223.57,186.78,223.57
